1	0	25.005	2.235
2	0	27.97	1.04
3	0	27.85	4.08
4	0	22.835	1.785
5	0	27.41	2.68
6	0	29.635	1.945
7	0	28.725	3.425
8	0	30.16	4.92
9	0	32.925	4.505
10	0	31.345	2.155
11	0	32.52	1.71
12	0	26.91	4.68
1	1	25.56	2.13
2	1	27.92	2.76
3	1	24.78	1.59
4	1	25.26	1.95
5	1	28.31	1.49
6	1	27.625	1.945
7	1	24.825	1.725
8	1	25.515	1.285
9	1	24.675	4.545
10	1	20.335	1.125
11	1	18.615	2.105
12	1	18.805	1.195
1	2	19.685	1.515
2	2	20.585	1.165
3	2	23.465	1.875
4	2	25.115	1.865
5	2	25.345	1.825
6	2	23.88	1.51
7	2	25.81	0.91
8	2	26.53	1.36
9	2	28.025	1.445
10	2	27.355	2.065
11	2	24.3	1.48
12	2	28.845	3.175
1	3	30.795	1.495
2	3	32.52	1.57
3	3	30.265	4.675
4	3	25.585	2.355
5	3	25.585	1.995
6	3	27.59	1.38
7	3	28.3	1.07
8	3	29.775	0.815
9	3	27.575	2.065
10	3	29.46	1.99
11	3	28.725	1.405
12	3	29.6	1.43
1	4	31.01	1.54
2	4	30.98	1.96
3	4	33.495	1.455
4	4	33.2	2.03
5	4	37.095	2.125
6	4	35.83	3.22
7	4	38.415	3.055
8	4	42.63	2.83
9	4	43.835	3.925
10	4	49.57	2.71
11	4	43.08	3.76
12	4	39.915	3.145
1	5	43.63	2.88
2	5	46.31	3.82
3	5	53.25	2.78
4	5	52.25	3.67
5	5	48.655	2.235
6	5	54.48	4.02
7	5	57.68	2.09
8	5	63.65	3.61
9	5	63.635	3.155
10	5	59.29	2.35
11	5	56.66	3.82
12	5	56.66	3.01
1	6	63.195	1.945
2	6	61.21	4.43
3	6	62.24	3.82
4	6	69.945	4.015
5	6	70.485	3.965
6	6	69.105	4.095
7	6	73.875	2.255
8	6	72.635	5.625
9	6	64.045	6.445
10	6	57.975	2.155
11	6	60.31	4.05
12	6	61.85	2.89
1	7	54.22	4.27
